,,,,,,,,Assembled dimensions,,,Total Weight,Number of boxes,Box 1,Box 2,Box 3,Box 4,Box 5,Box 6,Box 7,Box 8,Box 9,Box 10,TOTAL,Box 1 information,,,,,Box 2 information,,,,,Box 3 information,,,,,Box 4 information,,,,,Box 5 information,,,,,Box 6 information,,,,,Box 7 information,,,,,Box 8 information,,,,,Box 9 information,,,,,Box 10 information,,,,,Bullet Points,,,,,,Supporting Documents,,,,,,,,Images,,,,,,,,,,,,,,,,,,,,Categories,,,,,,,,,,,,,,,,,,,,,,,,,,,
90A0000101176,0000101176,,Dice,Dice Round Coffee Table Set in Light Travertine Effect,Introducing our Dice coffee table set: a pair of round tables with a sophisticated travertine finish. Their compact design and elegant rough paper texture make them a versatile addition to any living space.,Top paper travertine rough / Base paper travertine rough,5713941296412,58,40,58,13.7,1,17.3,,,,,,,,,,0.187,5713941296412,63.5,46,63.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Modern coffee table set ,Round streamlined silhouette and travertine look for a sophisticated feel,Easy to clean surface,Large Coffee Table Size:  W 58 X  H 40 X  D 58cm,Small Coffee Table Size:  W 50 X  H 33 X  D 50cm,,,,,,,,,,https://www.dropbox.com/sh/ppiz6rvwyyhloiw/AABlVUjnPxUOs89Up0yhpb_Pa/90A%20Dice/90A0000101176_1.jpg?dl=0,https://www.dropbox.com/sh/ppiz6rvwyyhloiw/AAB8o4EBnOqhHU1Cess8r6f5a/90A%20Dice/90A0000101176_2.jpg?dl=0,https://www.dropbox.com/sh/ppiz6rvwyyhloiw/AAAXK9oNI37CfbSTthYbCsiGa/90A%20Dice/90A0000101176_3.jpg?dl=0,https://www.dropbox.com/sh/ppiz6rvwyyhloiw/AADj6Tru_1FUDe6gaKZrwYp7a/90A%20Dice/90A0000101176_4.jpg?dl=0,https://www.dropbox.com/sh/ppiz6rvwyyhloiw/AAALOpNr3JzMaaL4_7vFSj27a/90A%20Dice/90A0000101176_5.jpg?dl=0,https://www.dropbox.com/sh/ppiz6rvwyyhloiw/AAAT3bkF7YECwqzudMMhu0_Ta/90A%20Dice/90A0000101176_6.jpg?dl=0,https://www.dropbox.com/sh/ppiz6rvwyyhloiw/AADSAr5cb691ocnRrl_8nwqqa/90A%20Dice/90A0000101176_7.jpg?dl=0,https://www.dropbox.com/sh/ppiz6rvwyyhloiw/AADIx79x60Fspk80kGzP59mXa/90A%20Dice/90A0000101176_8.jpg?dl=0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90A0000101575,0000101575,,Dice,Dice Coffee Table Set in Grey Marble,"Elevate your living space with our sophisticated coffee table set, featuring a sleek grey marble top and a sturdy pillar base. This pair of tables offers a harmonious blend of style and function, making it an ideal choice for contemporary interiors.",Top paper grey marble River rough / Base paper grey marble River rough,5713941301048,100,42,60,24.2,1,30.6,,,,,,,,,,0.309,5713941301048,112,66,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Modern coffee table set with grey marble look ,Durable surface that is easy to clean ,Danish design exclusively protected for Actona,Large Coffee Table Size:  W 100 X  H 42 X  D 60cm,Small Coffee Table Size:  W 44 X  H 38 X  D 44cm,,https://dl.dropboxusercontent.com/scl/fi/zk8hyvq2hg91wz499nrbc/90A0000101575.pdf?rlkey=ri083mfv87w9gyh5u7qify03f&dl=0,,,,,,,,https://www.dropbox.com/sh/ppiz6rvwyyhloiw/AADeOExkWPQvtcJdkhm40IUQa/90A%20Dice/90A0000101575_1.jpg?dl=0,https://www.dropbox.com/sh/ppiz6rvwyyhloiw/AACy0SChPHxCQGoFwDHKIUENa/90A%20Dice/90A0000101575_2.jpg?dl=0,https://www.dropbox.com/sh/ppiz6rvwyyhloiw/AABTLW6sDatRCTIvKUfiJ3F6a/90A%20Dice/90A0000101575_3.jpg?dl=0,https://www.dropbox.com/sh/ppiz6rvwyyhloiw/AADO76aH87FHsDhveNwdol3Ba/90A%20Dice/90A0000101575_4.jpg?dl=0,https://www.dropbox.com/sh/ppiz6rvwyyhloiw/AAAvEx3pr8Hjdrf-K5BcZ60fa/90A%20Dice/90A0000101575_5.jpg?dl=0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90A0000101896,0000101896,,Dice,Dice Round Coffee Table Set in Grey Marble,"Revitalize your home with our grey marble effect coffee table set. This pair of tables, with their distinctive rough paper finish, offers a modern twist on classic elegance, ideal for contemporary living spaces.",Top paper grey marble River rough / Base paper grey marble River rough,5713941304742,58,40,58,13.7,1,17.3,,,,,,,,,,0.187,5713941304742,63.5,46,63.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Modern round coffee table set ,Grey marble look for a sophisticated feel,Easy to clean surface,Large Coffee Table Size:  W 58 X  H 40 X  D 58cm,Small Coffee Table Size:  W 50 X  H 33 X  D 50cm,,,,,,,,,,https://www.dropbox.com/sh/ppiz6rvwyyhloiw/AAD-DGDwLHCgngrfqFvvSyoja/90A%20Dice/90A0000101896_1.jpg?dl=0,https://www.dropbox.com/sh/ppiz6rvwyyhloiw/AAB-be06picUAqV7ijna0Umpa/90A%20Dice/90A0000101896_2.jpg?dl=0,https://www.dropbox.com/sh/ppiz6rvwyyhloiw/AADe16YOCEmnqDVlBygJtMfIa/90A%20Dice/90A0000101896_3.jpg?dl=0,https://www.dropbox.com/sh/ppiz6rvwyyhloiw/AABejr8bI0hGn7ic904KE3TEa/90A%20Dice/90A0000101896_4.jpg?dl=0,https://www.dropbox.com/sh/ppiz6rvwyyhloiw/AAA8Y0995_WbN0TcbIs1OgR5a/90A%20Dice/90A0000101896_5.jpg?dl=0,https://www.dropbox.com/sh/ppiz6rvwyyhloiw/AADm8Q1PaDdUYDvaRWXKFCuLa/90A%20Dice/90A0000101896_6.jpg?dl=0,https://www.dropbox.com/sh/ppiz6rvwyyhloiw/AADsg0ZfH2asfVMfCZxX-wqya/90A%20Dice/90A0000101896_7.jpg?dl=0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90A0000104951,0000104951,9403601000,Dice,Dice Square Coffee Table in Light Travertine Effect 90x90x42cm,"The Dice square coffee table brings a sophisticated touch to any modern space. Featuring a 90x90 cm top and pillar base made from travertine rough paper, it offers a unique blend of texture and style. The subtle plinth base adds a cool, minimalist look, making this table a perfect centerpiece for contemporary living rooms. With its sleek design and natural material, the Dice coffee table effortlessly enhances any setting.",Travertine Rough Paper,5713941339966,90,42,90,28.6,1,28.6,,,,,,,,,,0.425,5713941339966,95,95,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Subtle plinth base for a cool look,Designed by designer Michelle Würtz,,,,,https://dl.dropboxusercontent.com/scl/fi/daxy1ubtbsjuurr796pjd/90A0000104951_AI.pdf?rlkey=0noxavfkj8dde58s8hgm770le&dl=0,,,,,,,,https://www.dropbox.com/scl/fi/urttm6p9qjgm75q03p3nw/90A0000104951_1.jpg?rlkey=wm2d61ov1tzm2us7lv6b4ly8c&dl=0,https://www.dropbox.com/scl/fi/n8cvr5liv0u230h1qcfdq/90A0000104951_2.jpg?rlkey=euwyw0192e41btwje0brik6z6&dl=0,https://www.dropbox.com/scl/fi/klha0lwho1bihc4jj0381/90A0000104951_3.jpg?rlkey=n72c0px6nr870tz33p2a41n7j&dl=0,https://www.dropbox.com/scl/fi/uh55r4insz5vyxhl019lw/90A0000104951_4.jpg?rlkey=g37ovjj3jpe4moj8nlb1e0yoz&dl=0,https://www.dropbox.com/scl/fi/rpyihwbeafu1acip0jzj3/90A0000104951_5.jpg?rlkey=x1ljdo5yyjrgultn3juuz8wh2&dl=0,https://www.dropbox.com/scl/fi/5wxpty9bzsr6ml8o7f0xm/90A0000104951_6.jpg?rlkey=c9xfq2pr5ybp8y19zil22f5jf&dl=0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90A0000104953,0000104953,9403601000,Dice,Dice Square Coffee Table in Grey Marble 90x90x42cm,"The square coffee table features a striking grey marble River rough paper top, paired with a sleek pillar base for a modern and sophisticated look. Measuring 90x90x42 cm, its square design enhances contemporary spaces, while the subtle low base creates a floating top effect, adding to its elegant appeal. Perfect for those seeking a stylish and unique statement piece for their living room.",Marble River Rough Paper,5713941339973,90,42,90,28.6,1,28.6,,,,,,,,,,0.425,5713941339973,95,95,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Subtle low base for a floating top effect,Spacious surface for decor and refreshment,Designed by designer Lasse Cha Pedersen,,,,https://dl.dropboxusercontent.com/scl/fi/v1mgraiaf0bqsesgpazik/90A0000104953_AI.pdf?rlkey=segcpgw1r8cuofbj2n9f2zm4l&dl=0,,,,,,,,https://www.dropbox.com/scl/fi/ygi5mb67865d64pu5iv46/90A0000104953_1.jpg?rlkey=1vxem3btk72b1h9pllqwax70m&dl=0,https://www.dropbox.com/scl/fi/ji1yy81gdh42zcxv5sech/90A0000104953_2.jpg?rlkey=zmut56a4ga6yp9myj96ins0p8&dl=0,https://www.dropbox.com/scl/fi/3ae4tkvpc45u3sm25kndu/90A0000104953_3.jpg?rlkey=szm18n6kxza2gw98nhalgngry&dl=0,https://www.dropbox.com/scl/fi/r4zp2zqedcat24njy0eqd/90A0000104953_4.jpg?rlkey=qa0qhc1bulck97gkt6exprxln&dl=0,https://www.dropbox.com/scl/fi/4dl25leuz3hi00lb4jeye/90A0000104953_5.jpg?rlkey=13uofc13cqk9u3sqi11dd51gj&dl=0,https://www.dropbox.com/scl/fi/6alhcdxzkxyj824ytcota/90A0000104953_6.jpg?rlkey=5smdevmjcux7u5ehv0lg8o0m2&dl=0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90A0000105534,0000105534,9403601000,Dice,Dice Square Coffee Table Set in Black Ocean Rough Paper,"The Dice square coffee table set offers a modern and versatile design, featuring a striking black Ocean rough paper top and base. The set includes two tables, allowing for flexible arrangements to suit your space. This coffee table set brings a contemporary touch to any living room, offering both style and functionality.",Black Ocean Rough Paper,5713941346742,58,40,58,24.5,1,24.5,,,,,,,,,,0.200,5713941346742,46,65,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eye-catching square form,Versatile design allowing different set-ups,Designed by designer Lasse Cha Pedersen,Large Coffee Table Size:  W 58 X  H 40 X  D 58cm,Small Coffee Table Size:  W 50 X  H 33 X  D 50cm,,,,,,,,,,https://www.dropbox.com/scl/fi/bfumi5knki5w9o6aik361/90A0000105534_1.jpg?rlkey=6dho2ttaj6jrlhzsq92tokfnf&dl=0,https://www.dropbox.com/scl/fi/ygk5aa2pase4166z0cpea/90A0000105534_2.jpg?rlkey=0wbtu3yhxz5m08j5una9yb0lx&dl=0,https://www.dropbox.com/scl/fi/9u1dw0tnko6bap8hm8e5l/90A0000105534_3.jpg?rlkey=41schwmy4b2kt06y7mdu7a9oo&dl=0,https://www.dropbox.com/scl/fi/2atoebsmttdddz70e0vja/90A0000105534_4.jpg?rlkey=vtd7gi5g9g6yq1ngy483twl6w&dl=0,https://www.dropbox.com/scl/fi/g8e6ba6et5e214qrl6r9l/90A0000105534_5.jpg?rlkey=ejdzo1rtpcmiguc9me6pjaeeq&dl=0,https://www.dropbox.com/scl/fi/yql5aumilb1rwhs4yxk6h/90A0000105534_6.jpg?rlkey=grw8q46n1e2olaongtejb9joz&dl=0,https://www.dropbox.com/scl/fi/3ajns1rit8222hc8bgtym/90A0000105534_7.jpg?rlkey=wjj3pbijslxjhny5q8g445cnf&dl=0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90A0000105535,0000105535,9403601000,Dice,Dice Square Coffee Table Set in Light Brown Emperador Rough Paper,"The Dice square coffee table set brings modern elegance to your living space, featuring a light brown Emperador rough paper top and base. The set includes two tables, offering versatile design options for various setups. This coffee table set adds a sophisticated touch while providing flexibility for your décor needs.",Light Brown Emperador Rough Paper,5713941346735,58,40,58,24.5,1,24.5,,,,,,,,,,0.200,5713941346735,46,65,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eye-catching square form,Versatile design allowing different set-ups,Designed by designer Lasse Cha Pedersen,Large Coffee Table Size:  W 58 X  H 40 X  D 58cm,Small Coffee Table Size:  W 50 X  H 33 X  D 50cm,,,,,,,,,,https://www.dropbox.com/scl/fi/dumdkyy9eoum9sk4h95s4/90A0000105535_1.jpg?rlkey=xtakbd5s3p62bom58horbff1f&dl=0,https://www.dropbox.com/scl/fi/senvz7suf4z0tlas0b7pj/90A0000105535_2.jpg?rlkey=tzvqh15q4lhimasyp60sj8j87&dl=0,https://www.dropbox.com/scl/fi/w02319a6ds63mkdyoiunt/90A0000105535_3.jpg?rlkey=0uoko81eybn1n7g3jv1nf11ib&dl=0,https://www.dropbox.com/scl/fi/z2r23oieg5ktmk5m3fi8h/90A0000105535_4.jpg?rlkey=40sa3ev4lknvgon3o5on2uwy8&dl=0,https://www.dropbox.com/scl/fi/hpipji8w7hjhzkstsjrq6/90A0000105535_5.jpg?rlkey=jwmzc24zsl29jlxbrn5lsvnm0&dl=0,https://www.dropbox.com/scl/fi/tlvh2aq0a3up3y6sb1z9b/90A0000105535_6.jpg?rlkey=0vcupspwh0ns3189pcw6zuey9&dl=0,https://www.dropbox.com/scl/fi/bl92croncsjsbmruent4p/90A0000105535_7.jpg?rlkey=drwktynhbjiby4qi276f9ni6z&dl=0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90A0000105533,0000105533,9403601000,Dice,Dice Square Coffee Table Set in Smoked Ash,"The Dice square coffee table set features a sleek, modern design with a smoked ash rough paper top and base. The set includes two tables, offering versatile arrangements to suit your space. This coffee table set adds a stylish and functional element to any living room, allowing for a variety of set-ups to match your décor.",Ash Smoked Rough Paper,5713941346759,58,40,58,24.5,1,24.5,,,,,,,,,,0.200,5713941346759,46,65,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eye-catching square form,Versatile design allowing different set-ups,Designed by designer Lasse Cha Pedersen,Large Coffee Table Size:  W 58 X  H 40 X  D 58cm,Small Coffee Table Size:  W 50 X  H 33 X  D 50cm,,,,,,,,,,https://www.dropbox.com/scl/fi/by3w5bbnq4nmv69chk9tj/90A0000105533_1.jpg?rlkey=oj288o23yokor8xe0tej8j4j0&dl=0,https://www.dropbox.com/scl/fi/hqn0k07i3hhvqsvembyex/90A0000105533_2.jpg?rlkey=s6bh1jkfm75yc1ilgyfjtqzga&dl=0,https://www.dropbox.com/scl/fi/gw5io7e1zpxgelmtj2ruk/90A0000105533_3.jpg?rlkey=2dmvw818h6xvkf42wifu9ayr3&dl=0,https://www.dropbox.com/scl/fi/todkfnkoiounc42nrztdd/90A0000105533_4.jpg?rlkey=e0zhzkbq642ruspenaf85e613&dl=0,https://www.dropbox.com/scl/fi/n8k1aqkgujvv77mw2s4g2/90A0000105533_5.jpg?rlkey=zj5y4ug3de4x1s7ouyxcbpi46&dl=0,https://www.dropbox.com/scl/fi/ivsrgnwuryb30lxwh756m/90A0000105533_6.jpg?rlkey=2o39z6iptjiks2vpas2qdutgk&dl=0,https://www.dropbox.com/scl/fi/onebvus8mn0h8gxvcv2dh/90A0000105533_7.jpg?rlkey=wwhc37sknjzdk12z1m6a37j9v&dl=0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80FBhlv822M482,BHLV822-M482,94036090,Display cabinet,Bohol Display Cabinet 4 Door 2 Drawer in Oak/White,Bohol Display Cabinet 4 Door 2 Drawer in Oak/White. Provensal design with a striking Riviera oak and Sibiu light larch finish. Supplement with LED lighting. Soft-closing system ensures comfort of use.,Riviera Oak/White,5904767840587,106,205.4,42,78.1,3,29.8,24.8,23.5,,,,,,,,0.187,5904767822767,123,44,11.8,0.064,5904767822774,214,53.8,6.8,0.078,5904767822781,214,41.5,5.1,0.045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Provensal design,Striking Riviera oak / Sibiu light larch finish,You can additionally supplement the display with LED lighting,Comfort of use is ensured by a soft-closing system,Maximum load on the shelf up to 5 kg,Maximum drawer load up to 3 kg,https://dl.dropboxusercontent.com/scl/fi/bdhduxhhhuhqmfivw6c6j/80FBhlv822M482_AI.pdf?rlkey=vh6ulf2947iogs53l2749d6mw&dl=0,,,,,,,,https://www.dropbox.com/scl/fi/s0fbkjjcd0ophxu0dobsu/80FBhlv822M482_1.jpg?rlkey=91prekp9y72em9583wrzkcn2q&dl=0,https://www.dropbox.com/scl/fi/e6p78evhl7x37lp7ftx22/80FBhlv822M482_2.jpg?rlkey=eehzc2e66l1lcmi3la1i7tznf&dl=0,https://www.dropbox.com/scl/fi/0a2juimrr7sk52axyl3fq/80FBhlv822M482_3.jpg?rlkey=ep9fja5d3xo5fjk0iuwvgnnmu&dl=0,https://www.dropbox.com/scl/fi/xlxljs0nr6t5ohsujv44w/80FBhlv822M482_4.jpg?rlkey=al6lcpavv2imbi9dcogmu0yc1&dl=0,https://www.dropbox.com/scl/fi/vlxre14gunfmz9dkw6msz/80FBhlv822M482_5.jpg?rlkey=exu53o33zo77ty4h2ggg1d6zn&dl=0,https://www.dropbox.com/scl/fi/zjttm424yyvmu3nlxrkq8/80FBhlv822M482_6.jpg?rlkey=nqxx6w40h2yw7tlsr9vy8lwmh&dl=0,https://www.dropbox.com/scl/fi/dc3exy2gzzjmx1arg0xo2/80FBhlv822M482_7.jpg?rlkey=q8pdhn487lhro2vi4vctf1w1w&dl=0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80FKqlv712M802,KQLV712-M802,94036090,Display cabinet,Grafton Glass Door Display Cabinet in Cream and Oak,"Enhance your home with the Grafton Glass Door Display Cabinet in Cream and Oak. Industrial design, Mauvella oak/Sandy finish, stylish piping inserts, soft-closing system, and durable ABS edging.",Mauvella Oak/Sand,5904767846091,63,195.8,42,44.5,2,18.0,26.5,,,,,,,,,0.088,5904767266530,86,44,8.9,0.034,5904767266547,195,63,4.4,0.054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Industrial design,Mauvella oak / Sandy finish,A fashionable accent is provided by stylish piping inserts,Comfort of use is ensured by a soft-closing system,Selected furniture elements are protected by damage-resistant ABS edging,,https://dl.dropboxusercontent.com/scl/fi/ctefdidyti26f9smd3h91/80FKqlv712M802_AI.pdf?rlkey=bo5ju54hvn3l659t4r4d9y9m9&dl=0,,,,,,,,https://www.dropbox.com/scl/fi/7wktfw1csqyme1s8m7ork/80FKqlv712M802_1.jpg?rlkey=w8kv5d411t6g7bmgzfav7kuzy&dl=0,https://www.dropbox.com/scl/fi/np5vsp0c91k962qtwooji/80FKqlv712M802_2.jpg?rlkey=tqndpbgcqywv1h99fy9la0uwi&dl=0,https://www.dropbox.com/scl/fi/m1ur6obk6ncaq1jo9x7pv/80FKqlv712M802_3.jpg?rlkey=0qnbanrhs4jxtc2974o590t3p&dl=0,https://www.dropbox.com/scl/fi/inb55486nukb5v1y7nbd7/80FKqlv712M802_4.jpg?rlkey=fxjfoi9ymdkfx55r0pbdf1w17&dl=0,https://www.dropbox.com/scl/fi/efggst1dl84j92cimzkvv/80FKqlv712M802_5.jpg?rlkey=oi85sz1bq2kslykphlqvjzfc9&dl=0,https://www.dropbox.com/scl/fi/fvpz8pb3oscjanv3bkopm/80FKqlv712M802_6.jpg?rlkey=0vsqrb4gi29i3hsmna4hv207c&dl=0,https://www.dropbox.com/scl/fi/4kr4icvqt8wrv4edk48cv/80FKqlv712M802_7.jpg?rlkey=nld1qu0umt33bg1vmq10fakdl&dl=0,https://www.dropbox.com/scl/fi/jtfwz981bns40vk6xagq9/80FKqlv712M802_8.jpg?rlkey=xi7x388j9dxjo8jvpko7jn0n3&dl=0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80FLkdvh311M610,LKDVH311-M610,94036090,Display cabinet,Klara Display Cabinet with 1 Glass Door in Grey and Oak,"Enhance your space with the Klara Display Cabinet in Grey and Oak. Modern design, perfect for small spaces, convenient silent closing, and durable high-quality furniture board.",Artisan Oak/Uni Wolfram Grey,5904767839185,44,126.4,41.4,31,2,12.0,19.0,,,,,,,,,0.072,5904767820596,57,43.4,12.6,0.031,5904767820602,135,45.1,6.7,0.041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Modern design,Optional LED lighting available (Sold separately),Convenient use thanks to silent closing,Maximum load of the shelves up to 5 kg,High-quality furniture board ensures long service life,Maximum load of the shelves up to 5 kg,https://dl.dropboxusercontent.com/scl/fi/bes47n4hp47dmbf7zqljy/80FLkdvh311M610_AI.pdf?rlkey=if77cd5cbomctqp7w5khd05po&dl=0,,,,,,,,https://www.dropbox.com/scl/fi/k3bnf3diwzavvw92o6dni/80FLkdvh311M610_1.jpg?rlkey=dv27n4tdfan8rtnhtkvsodqjw&dl=0,https://www.dropbox.com/scl/fi/obqtaqaxgr3jaq4mfd1cc/80FLkdvh311M610_2.jpg?rlkey=4nkua2dfd1li691fc1hjqvmba&dl=0,https://www.dropbox.com/scl/fi/1gdy2vx7efi5oe5revpgl/80FLkdvh311M610_3.jpg?rlkey=wovlulbbyma3unzgk1bjeu7ud&dl=0,https://www.dropbox.com/scl/fi/9w04w1y7a6nm0v79hl3vt/80FLkdvh311M610_4.jpg?rlkey=vcha5wb1apqwowgmxtmi7xv6t&dl=0,https://www.dropbox.com/scl/fi/f64ondbzu8qi3agfkvtwo/80FLkdvh311M610_5.jpg?rlkey=6ywtkdnor5szh4cjqc82zjuuw&dl=0,https://www.dropbox.com/scl/fi/fb7yf5bfj77qj3gtw8i2n/80FLkdvh311M610_6.jpg?rlkey=ktoj91xhn9blyu7p98l4ij8ta&dl=0,https://www.dropbox.com/scl/fi/j414lm3gwanl55ym10n5q/80FLkdvh311M610_7.jpg?rlkey=nvcgy4mq4cscx5ei6dl10wm21&dl=0,https://www.dropbox.com/scl/fi/i37vjljwh0y6eg4gzvsmy/80FLkdvh311M610_8.jpg?rlkey=3aaeyccqzg89r5uabsbenk7nu&dl=0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80FPkdv621M848,PKDV621-M848,94036090,Display cabinet,Wensley Display Cabinet with 2 Doors and 2 Glass Doors in Light Grey and Oak,"Showcase your treasures with the Wensley Display Cabinet in Light Grey and Oak. Modern design, optional LED lighting, soft-closing system, and elegant wooden knob handles.",Ligh Grey/Oak,5904767847111,100,162.8,41.7,51.7,2,21.0,30.7,,,,,,,,,0.151,5904767269524,94,41.5,15.6,0.061,5904767269531,112,51.4,15.7,0.090,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Modern design,optional LED lighting available (Sold separately),Light Grey and Oak effect,Comfort of use is ensured by a soft-closing system,"Stylish accents include wooden handles in the form of knobs and thin frames on the fronts, reminiscent of stucco.",,https://dl.dropboxusercontent.com/scl/fi/vm6egj53qz4bonp2jwbs6/80FPkdv621M848_AI.pdf?rlkey=wf7uoa2snonhjemfaguaedicc&dl=0,,,,,,,,https://www.dropbox.com/scl/fi/dn99z8z2t2u5etx2cg1yv/80FPkdv621M848_1.jpg?rlkey=pva514fzg8jw6oyt7amw7pfhi&dl=0,https://www.dropbox.com/scl/fi/ctjtw4hy9s10hpwnv5ihg/80FPkdv621M848_2.jpg?rlkey=1tuxr4oadke9m1uty6u9fedm5&dl=0,https://www.dropbox.com/scl/fi/odexhrpwtgugogxa6jksj/80FPkdv621M848_3.jpg?rlkey=tm9nh6rga7uw2ivtktnimf100&dl=0,https://www.dropbox.com/scl/fi/fuvkkxqm7f24p6v8qh9u5/80FPkdv621M848_4.jpg?rlkey=iz2pkescl6vnmvv6umq9piui6&dl=0,https://www.dropbox.com/scl/fi/isiny94yx7tddg9jh76fh/80FPkdv621M848_5.jpg?rlkey=301wouawlboclmmqwypb314r5&dl=0,https://www.dropbox.com/scl/fi/7zule6a9n2qsjpwnasf7n/80FPkdv621M848_6.jpg?rlkey=d28js2okas9kmkdm539ryx6j1&dl=0,https://www.dropbox.com/scl/fi/2ek1koona9p59qox01pnp/80FPkdv621M848_7.jpg?rlkey=ufms739ajsfdt32au7ddv4rx3&dl=0,https://www.dropbox.com/scl/fi/stsvc71ayucw2r504rtjj/80FPkdv621M848_8.jpg?rlkey=yjtqdyakow67ns8u9u0y1f796&dl=0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80FPkdv711M848,PKDV711-M848,94036090,Display cabinet,Wensley Display Cabinet with 1 Door 1 Drawer and  1 Glass Door in Light Grey and Oak,"Display your items in style with the Wensley Display Cabinet in Light Grey and Oak. Modern design, safety toughened glass, optional LED lighting, and soft-closing system.",Ligh Grey/Oak,5904767847128,50,184.6,41.7,33.7,1,33.7,,,,,,,,,,0.084,5904767847128,184,52.2,8.8,0.084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Modern design,optional LED lighting available (Sold separately),Furniture fitted with transparent safety toughened glass,Light Grey and Oak effect,Comfort of use is ensured by a soft-closing system,,https://dl.dropboxusercontent.com/scl/fi/qgq1tj5ikckrpprx7udnn/80FPkdv711M848_AI.pdf?rlkey=v4bvuxchpvgw7spjzx3y4auys&dl=0,,,,,,,,https://www.dropbox.com/scl/fi/z1k7c3yi9lcfy5xaq1s2y/80FPkdv711M848_1.jpg?rlkey=tjrkat80876u76qt48ks0bt0f&dl=0,https://www.dropbox.com/scl/fi/wmn2crgor3cdezn3wcnsv/80FPkdv711M848_2.jpg?rlkey=tmg00gx74bufc6zyozd44d06s&dl=0,https://www.dropbox.com/scl/fi/afnwm6liwczl5br3vncxe/80FPkdv711M848_3.jpg?rlkey=938b5q7ukfisuka610vg0tdwx&dl=0,https://www.dropbox.com/scl/fi/7onn7vxncg9l6y7jr37tb/80FPkdv711M848_4.jpg?rlkey=che7ra7jwd818xcukub1s4802&dl=0,https://www.dropbox.com/scl/fi/cs87pz9to0t1x012to276/80FPkdv711M848_5.jpg?rlkey=iz5bw0bhodj3112z97h8u2c4q&dl=0,https://www.dropbox.com/scl/fi/0sio2qhsa7evti9xqzj5w/80FPkdv711M848_6.jpg?rlkey=itqwbi6s4phy9ii5utb84346q&dl=0,https://www.dropbox.com/scl/fi/esds72e9pzo85k5xxr7lt/80FPkdv711M848_7.jpg?rlkey=39sh8ooe0lcwlq7l69apa5b1n&dl=0,https://www.dropbox.com/scl/fi/valdjsklcdjvkslpwjnn0/80FPkdv711M848_8.jpg?rlkey=jhe79kkmzdgbjs7rmm2pvfcbz&dl=0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
